"Plot-Titel: KLG"
"Anz.","Datum Zeit, GMT+02:00","Temp., °C (LGR S/N: 21309858, SEN S/N: 21309858, LBL: °C)","Intensität, Lux (LGR S/N: 21309858, SEN S/N: 21309858, LBL: Lux)"
290,08.07.22 05:23:41 PM,30.963,21355.7
291,08.07.22 06:23:41 PM,28.060,5166.7
292,08.07.22 07:23:41 PM,27.370,18600.1
293,08.07.22 08:23:41 PM,23.966,2325.0
294,08.07.22 09:23:41 PM,21.569,0.0
295,08.07.22 10:23:41 PM,20.615,0.0
296,08.07.22 11:23:41 PM,19.758,0.0
297,08.08.22 12:23:41 AM,19.092,0.0
298,08.08.22 01:23:41 AM,18.616,0.0
299,08.08.22 02:23:41 AM,17.950,0.0
300,08.08.22 03:23:41 AM,17.189,0.0
301,08.08.22 04:23:41 AM,16.618,0.0
302,08.08.22 05:23:41 AM,16.046,118.4
303,08.08.22 06:23:41 AM,16.141,1980.6
304,08.08.22 07:23:41 AM,21.473,35822.5
305,08.08.22 08:23:41 AM,25.513,42711.4
306,08.08.22 09:23:41 AM,28.953,42711.4
307,08.08.22 10:23:41 AM,30.760,39955.8
308,08.08.22 11:23:41 AM,31.064,34444.7
309,08.08.22 12:23:41 PM,31.880,35822.5
310,08.08.22 01:23:41 PM,28.357,12400.1
311,08.08.22 02:23:41 PM,30.255,12400.1
312,08.08.22 03:23:41 PM,31.472,30311.3
313,08.08.22 04:23:41 PM,30.963,30311.3
314,08.08.22 05:23:41 PM,31.064,15155.7
315,08.08.22 06:23:41 PM,32.497,26178.0
316,08.08.22 07:23:41 PM,29.552,17222.3
317,08.08.22 08:23:41 PM,25.708,2325.0
318,08.08.22 09:23:41 PM,22.908,0.0
319,08.08.22 10:23:41 PM,21.951,0.0
320,08.08.22 11:23:41 PM,20.901,0.0
321,08.09.22 12:23:41 AM,20.234,0.0
322,08.09.22 01:23:41 AM,19.853,0.0
323,08.09.22 02:23:41 AM,19.662,0.0
324,08.09.22 03:23:41 AM,19.662,0.0
325,08.09.22 04:23:41 AM,19.187,0.0
326,08.09.22 05:23:41 AM,19.092,10.8
327,08.09.22 06:23:41 AM,19.092,678.1
328,08.09.22 07:23:41 AM,19.567,3788.9
329,08.09.22 08:23:41 AM,21.664,10677.8
330,08.09.22 09:23:41 AM,23.484,22044.6
331,08.09.22 10:23:41 AM,28.159,44089.2
332,08.09.22 11:23:41 AM,29.252,34444.7
333,08.09.22 12:23:41 PM,30.054,30311.3
334,08.09.22 01:23:41 PM,31.778,31689.1
335,08.09.22 02:23:41 PM,29.053,22044.6
336,08.09.22 03:23:41 PM,31.064,31689.1
337,08.09.22 04:23:41 PM,33.953,31689.1
338,08.09.22 05:23:41 PM,32.497,22044.6
339,08.09.22 06:23:41 PM,28.159,7233.4
340,08.09.22 07:23:41 PM,28.953,15844.5
341,08.09.22 08:23:41 PM,24.931,2755.6
342,08.09.22 09:23:41 PM,23.004,0.0
343,08.09.22 10:23:41 PM,21.855,0.0
344,08.09.22 11:23:41 PM,20.805,0.0
345,08.10.22 12:23:41 AM,19.758,0.0
346,08.10.22 01:23:41 AM,18.901,0.0
347,08.10.22 02:23:41 AM,18.140,0.0
348,08.10.22 03:23:41 AM,17.570,0.0
349,08.10.22 04:23:41 AM,16.999,0.0
350,08.10.22 05:23:41 AM,16.523,161.5
351,08.10.22 06:23:41 AM,19.472,22044.6
352,08.10.22 07:23:41 AM,23.484,38578.0
353,08.10.22 08:23:41 AM,25.125,44089.2
354,08.10.22 09:23:41 AM,27.567,44089.2
355,08.10.22 10:23:41 AM,28.159,41333.6
356,08.10.22 11:23:41 AM,30.154,34444.7
357,08.10.22 12:23:41 PM,30.862,30311.3
358,08.10.22 01:23:41 PM,32.188,28933.5
359,08.10.22 02:23:41 PM,33.222,27555.7
360,08.10.22 03:23:41 PM,33.326,26178.0
361,08.10.22 04:23:41 PM,35.009,26178.0
362,08.10.22 05:23:41 PM,35.115,24800.2
363,08.10.22 06:23:41 PM,34.691,22044.6
364,08.10.22 07:23:41 PM,32.704,16533.4
365,08.10.22 08:23:41 PM,27.370,2411.1
366,08.10.22 09:23:41 PM,25.125,0.0
