"Plot-Titel: GAS_TS_2"
"Anz.","Datum Zeit, GMT+02:00","Temp., °C (LGR S/N: 21309864, SEN S/N: 21309864)","Intensität, Lux (LGR S/N: 21309864, SEN S/N: 21309864)"
467,06.24.22 03:09:09 AM,17.284,0.0
468,06.24.22 03:39:09 AM,16.713,0.0
469,06.24.22 04:09:09 AM,17.475,0.0
470,06.24.22 04:39:09 AM,17.284,139.9
471,06.24.22 05:09:09 AM,16.523,538.2
472,06.24.22 05:39:09 AM,17.284,1097.9
473,06.24.22 06:09:09 AM,19.187,1636.1
474,06.24.22 06:39:09 AM,20.234,2325.0
475,06.24.22 07:09:09 AM,21.951,12400.1
476,06.24.22 07:39:09 AM,27.764,26178.0
477,06.24.22 08:09:09 AM,29.252,30311.3
478,06.24.22 08:39:09 AM,30.862,31689.1
479,06.24.22 09:09:09 AM,32.188,33066.9
480,06.24.22 09:39:09 AM,33.639,34444.7
481,06.24.22 10:09:09 AM,34.479,34444.7
482,06.24.22 10:39:09 AM,34.163,34444.7
483,06.24.22 11:09:09 AM,35.542,35822.5
484,06.24.22 11:39:09 AM,35.435,34444.7
485,06.24.22 12:09:09 PM,36.079,34444.7
486,06.24.22 12:39:09 PM,36.187,34444.7
487,06.24.22 01:09:09 PM,36.837,35822.5
488,06.24.22 01:39:09 PM,34.796,26178.0
489,06.24.22 02:09:09 PM,35.009,20666.8
490,06.24.22 02:39:09 PM,36.620,13089.0
491,06.24.22 03:09:09 PM,37.824,26178.0
492,06.24.22 03:39:09 PM,34.903,12400.1
493,06.24.22 04:09:09 PM,36.620,31689.1
494,06.24.22 04:39:09 PM,34.374,16533.4
495,06.24.22 05:09:09 PM,31.268,3272.2
496,06.24.22 05:39:09 PM,30.154,5511.1
497,06.24.22 06:09:09 PM,28.953,4822.3
498,06.24.22 06:39:09 PM,27.961,5338.9
499,06.24.22 07:09:09 PM,26.390,1302.4
500,06.24.22 07:39:09 PM,25.708,2583.4
501,06.24.22 08:09:09 PM,25.319,1550.0
502,06.24.22 08:39:09 PM,24.641,688.9
503,06.24.22 09:09:09 PM,23.773,204.5
504,06.24.22 09:39:09 PM,23.196,32.3
505,06.24.22 10:09:09 PM,23.196,0.0
506,06.24.22 10:39:09 PM,21.569,0.0
507,06.24.22 11:09:09 PM,22.621,0.0
508,06.24.22 11:39:09 PM,22.238,0.0
509,06.25.22 12:09:09 AM,22.717,0.0
510,06.25.22 12:39:09 AM,22.238,0.0
511,06.25.22 01:09:09 AM,21.569,0.0
512,06.25.22 01:39:09 AM,21.473,0.0
513,06.25.22 02:09:09 AM,21.187,0.0
514,06.25.22 02:39:09 AM,20.710,0.0
515,06.25.22 03:09:09 AM,20.043,0.0
516,06.25.22 03:39:09 AM,19.377,0.0
517,06.25.22 04:09:09 AM,18.711,0.0
518,06.25.22 04:39:09 AM,18.236,53.8
519,06.25.22 05:09:09 AM,17.665,645.8
520,06.25.22 05:39:09 AM,18.045,1894.5
521,06.25.22 06:09:09 AM,19.758,3616.7
522,06.25.22 06:39:09 AM,21.187,4477.8
523,06.25.22 07:09:09 AM,23.100,17911.2
524,06.25.22 07:39:09 AM,28.060,28933.5
525,06.25.22 08:09:09 AM,28.159,30311.3
